Flight_No,Serial_Number,Orbit,Payload_Mass,Launchoutcome,Landing,Longitude,Latitude,Reused,FlightCount,GridFins,Legs,Day,Month,Year,"Launchsite_Cape Canaveral, SLC-40","Launchsite_Kennedy, LC-39A","Launchsite_Vandenberg, SLC-4E",Block_B4,Block_B5,Block_FT,Block_v1.0,Block_v1.1,Booster_Version_F9 B4,Booster_Version_F9 B5,Booster_Version_F9 FT,Booster_Version_F9 v1.0,Booster_Version_F9 v1.1
3,0,5,525,1,0,-80.577366,28.561857,0,1,0,0,1,5,2012,1,0,0,0,0,0,1,0,0,0,0,1,0
5,2,5,4877,1,0,-80.577366,28.561857,0,1,0,0,4,3,2013,1,0,0,0,0,0,1,0,0,0,0,1,0
6,3,9,500,1,0,-120.610829,34.632093,0,1,0,0,6,9,2013,0,0,1,0,0,0,0,1,0,0,0,0,1
7,4,2,3170,1,0,-80.577366,28.561857,0,1,0,0,1,12,2013,1,0,0,0,0,0,0,1,0,0,0,0,1
8,5,2,3325,1,0,-80.577366,28.561857,0,1,0,0,0,1,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
9,6,5,2296,1,0,-80.577366,28.561857,0,1,0,1,4,4,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
10,7,5,1316,1,0,-80.577366,28.561857,0,1,0,1,0,7,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
11,8,2,4535,1,0,-80.577366,28.561857,0,1,0,0,1,8,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
12,10,2,4428,1,0,-80.577366,28.561857,0,1,0,0,6,9,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
13,9,5,2216,1,0,-80.577366,28.561857,0,1,0,0,6,9,2014,1,0,0,0,0,0,0,1,0,0,0,0,1
14,11,5,2395,1,0,-80.577366,28.561857,0,1,1,1,5,1,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
15,12,13,570,1,0,-80.577366,28.561857,0,1,1,1,2,2,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
17,14,5,1898,1,0,-80.577366,28.561857,0,1,1,1,1,4,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
18,15,2,4707,1,0,-80.577366,28.561857,0,1,0,0,0,4,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
19,17,5,1952,0,0,-80.577366,28.561857,0,1,1,1,6,6,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
20,18,5,2034,1,1,-80.577366,28.561857,0,1,1,1,1,12,2015,1,0,0,0,0,1,0,0,0,0,1,0,0
21,16,5,553,1,0,-120.610829,34.632093,0,1,1,1,6,1,2016,0,0,1,0,0,0,0,1,0,0,0,0,1
22,19,2,5271,1,0,-80.577366,28.561857,0,1,1,1,4,3,2016,1,0,0,0,0,1,0,0,0,0,1,0,0
23,20,5,3136,1,1,-80.577366,28.561857,0,1,1,1,4,4,2016,1,0,0,0,0,1,0,0,0,0,1,0,0
24,21,2,4696,1,1,-80.577366,28.561857,0,1,1,1,4,5,2016,1,0,0,0,0,1,0,0,0,0,1,0,0
25,22,2,3100,1,1,-80.577366,28.561857,0,1,1,1,4,5,2016,1,0,0,0,0,1,0,0,0,0,1,0,0
27,24,5,2257,1,1,-80.577366,28.561857,0,1,1,1,0,7,2016,1,0,0,0,0,1,0,0,0,0,1,0,0
28,25,2,4600,1,1,-80.577366,28.561857,0,1,1,1,6,8,2016,1,0,0,0,0,1,0,0,0,0,1,0,0
29,26,8,9600,1,1,-120.610829,34.632093,0,1,1,1,5,1,2017,0,0,1,0,0,1,0,0,0,0,1,0,0
30,28,5,2490,1,1,-80.603956,28.608058,0,1,1,1,6,2,2017,0,1,0,0,0,1,0,0,0,0,1,0,0
31,27,2,5600,1,0,-80.603956,28.608058,0,1,0,0,3,3,2017,0,1,0,0,0,1,0,0,0,0,1,0,0
32,20,2,5300,1,1,-80.603956,28.608058,0,2,1,1,3,3,2017,0,1,0,0,0,1,0,0,0,0,1,0,0
34,30,2,6070,1,0,-80.603956,28.608058,0,1,0,0,0,5,2017,0,1,0,0,0,1,0,0,0,0,1,0,0
35,31,5,2708,1,1,-80.603956,28.608058,0,1,1,1,5,6,2017,0,1,0,0,0,1,0,0,0,0,1,0,0
36,26,2,3669,1,1,-80.603956,28.608058,0,2,1,1,4,6,2017,0,1,0,0,0,1,0,0,0,0,1,0,0
37,32,5,9600,1,1,-120.610829,34.632093,0,1,1,1,6,6,2017,0,0,1,0,0,1,0,0,0,0,1,0,0
38,33,2,6761,1,0,-80.603956,28.608058,0,1,0,0,2,7,2017,0,1,0,0,0,1,0,0,0,0,1,0,0
39,35,5,3310,1,1,-80.603956,28.608058,0,1,1,1,0,8,2017,0,1,0,1,0,0,0,0,1,0,0,0,0
40,34,11,475,1,1,-120.610829,34.632093,0,1,1,1,3,8,2017,0,0,1,0,0,1,0,0,0,0,1,0,0
41,36,5,4990,1,1,-80.603956,28.608058,0,1,1,1,3,9,2017,0,1,0,1,0,0,0,0,1,0,0,0,0
42,37,8,9600,1,1,-120.610829,34.632093,0,1,1,1,0,10,2017,0,0,1,1,0,0,0,0,1,0,0,0,0
43,28,2,5400,1,1,-80.603956,28.608058,0,2,1,1,2,10,2017,0,1,0,0,0,1,0,0,0,0,1,0,0
44,38,2,3500,1,1,-80.603956,28.608058,0,1,1,1,0,10,2017,0,1,0,1,0,0,0,0,1,0,0,0,0
45,31,5,2205,1,1,-80.577366,28.561857,0,2,1,1,4,12,2017,1,0,0,0,0,1,0,0,0,0,1,0,0
46,32,8,9600,1,0,-120.610829,34.632093,0,2,1,0,5,12,2017,0,0,1,0,0,1,0,0,0,0,1,0,0
48,29,2,4230,1,0,-80.577366,28.561857,0,2,1,1,2,1,2018,1,0,0,0,0,1,0,0,0,0,1,0,0
50,40,2,6092,1,0,-80.577366,28.561857,0,1,1,1,1,3,2018,1,0,0,1,0,0,0,0,1,0,0,0,0
51,37,8,9600,1,0,-120.610829,34.632093,0,2,1,1,4,3,2018,0,0,1,1,0,0,0,0,1,0,0,0,0
52,35,5,2647,1,0,-80.577366,28.561857,0,2,1,1,0,4,2018,1,0,0,1,0,0,0,0,1,0,0,0,0
53,41,3,362,1,1,-80.577366,28.561857,0,1,1,1,2,4,2018,1,0,0,1,0,0,0,0,1,0,0,0,0
54,42,2,3600,1,1,-80.603956,28.608058,0,1,1,1,4,5,2018,0,1,0,0,1,0,0,0,0,1,0,0,0
56,36,2,5384,1,0,-80.577366,28.561857,0,2,0,0,0,6,2018,1,0,0,1,0,0,0,0,1,0,0,0,0
57,41,5,2697,1,0,-80.577366,28.561857,0,2,0,0,4,6,2018,1,0,0,1,0,0,0,0,1,0,0,0,0
58,43,2,7075,1,1,-80.577366,28.561857,0,1,1,1,6,7,2018,1,0,0,0,1,0,0,0,0,1,0,0,0
59,44,8,9600,1,1,-120.610829,34.632093,0,1,1,1,2,7,2018,0,0,1,0,1,0,0,0,0,1,0,0,0
60,42,2,5800,1,1,-80.577366,28.561857,0,2,1,1,1,8,2018,1,0,0,0,1,0,0,0,0,1,0,0,0
61,45,2,7060,1,1,-80.577366,28.561857,0,1,1,1,0,9,2018,1,0,0,0,1,0,0,0,0,1,0,0,0
62,44,11,3000,1,1,-120.610829,34.632093,0,2,1,1,0,10,2018,0,0,1,0,1,0,0,0,0,1,0,0,0
63,43,2,5300,1,1,-80.603956,28.608058,0,2,1,1,3,11,2018,0,1,0,0,1,0,0,0,0,1,0,0,0
64,42,11,4000,1,1,-120.610829,34.632093,0,3,1,1,0,12,2018,0,0,1,0,1,0,0,0,0,1,0,0,0
65,46,5,2500,1,0,-80.577366,28.561857,0,1,1,1,2,12,2018,1,0,0,0,1,0,0,0,0,1,0,0,0
66,49,6,4400,1,0,-80.577366,28.561857,0,1,0,0,6,12,2018,1,0,0,0,1,0,0,0,0,1,0,0,0
67,45,8,9600,1,1,-120.610829,34.632093,0,2,1,1,4,1,2019,0,0,1,0,1,0,0,0,0,1,0,0,0
69,47,5,12055,1,1,-80.603956,28.608058,0,1,1,1,5,3,2019,0,1,0,0,1,0,0,0,0,1,0,0,0
70,50,5,2495,1,1,-80.577366,28.561857,0,1,1,1,5,5,2019,1,0,0,0,1,0,0,0,0,1,0,0,0
71,45,5,13620,1,1,-80.577366,28.561857,0,2,1,1,4,5,2019,1,0,0,0,1,0,0,0,0,1,0,0,0
72,47,11,4200,1,1,-120.610829,34.632093,0,2,1,1,2,6,2019,0,0,1,0,1,0,0,0,0,1,0,0,0
73,50,5,2268,1,1,-80.577366,28.561857,0,2,1,1,3,7,2019,1,0,0,0,1,0,0,0,0,1,0,0,0
74,43,2,6500,1,0,-80.577366,28.561857,0,2,0,0,1,8,2019,1,0,0,0,1,0,0,0,0,1,0,0,0
75,44,5,15600,1,1,-80.577366,28.561857,0,4,1,1,0,11,2019,1,0,0,0,1,0,0,0,0,1,0,0,0
76,52,5,2617,1,1,-80.577366,28.561857,0,1,1,1,3,12,2019,1,0,0,0,1,0,0,0,0,1,0,0,0
77,50,2,6956,1,1,-80.577366,28.561857,0,2,1,1,1,12,2019,1,0,0,0,1,0,0,0,0,1,0,0,0
78,45,5,15600,1,1,-80.577366,28.561857,0,4,1,1,1,1,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
79,42,12,12050,0,0,-80.603956,28.608058,0,4,0,0,6,1,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
80,47,5,15600,1,1,-80.577366,28.561857,0,3,1,1,2,1,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
81,50,5,15600,1,0,-80.577366,28.561857,0,4,1,1,0,2,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
82,52,5,1977,1,1,-80.577366,28.561857,0,2,1,1,5,3,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
83,44,5,15600,1,0,-80.603956,28.608058,0,5,1,1,2,3,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
84,47,5,15600,1,1,-80.603956,28.608058,0,4,1,1,2,4,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
85,51,5,12530,1,1,-80.603956,28.608058,0,1,1,1,5,5,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
86,45,5,15600,1,1,-80.577366,28.561857,0,5,1,1,3,6,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
87,52,5,15410,1,1,-80.577366,28.561857,0,3,1,1,5,6,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
88,53,6,4311,1,1,-80.577366,28.561857,0,1,1,1,1,6,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
91,45,5,15440,1,1,-80.577366,28.561857,0,6,1,1,1,8,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
92,52,11,3130,1,1,-80.577366,28.561857,0,4,1,1,6,8,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
93,53,5,15600,1,1,-80.603956,28.608058,0,2,1,1,3,9,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
94,51,5,15600,1,1,-80.603956,28.608058,0,3,1,1,1,10,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
95,47,5,15600,1,1,-80.603956,28.608058,0,6,1,1,6,10,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
96,53,5,15600,1,1,-80.577366,28.561857,0,3,1,1,5,10,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
97,55,6,4311,1,1,-80.577366,28.561857,0,1,1,1,3,11,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
4,1,5,4700,1,0,-80.577366,28.561857,0,1,0,0,0,10,2012,1,0,0,0,0,0,1,0,0,0,0,1,0
16,13,2,4159,1,0,-80.577366,28.561857,0,1,0,0,0,3,2015,1,0,0,0,0,0,0,1,0,0,0,0,1
26,23,2,3600,1,0,-80.577366,28.561857,0,1,1,1,2,6,2016,1,0,0,0,0,1,0,0,0,0,1,0,0
49,34,11,2150,1,0,-120.610829,34.632093,0,2,1,1,3,2,2018,0,0,1,0,0,1,0,0,0,0,1,0,0
55,39,8,6460,1,0,-120.610829,34.632093,0,2,1,1,1,5,2018,0,0,1,1,0,0,0,0,1,0,0,0,0
68,44,2,4850,1,1,-80.577366,28.561857,0,3,1,1,4,2,2019,1,0,0,0,1,0,0,0,0,1,0,0,0
90,47,5,5500,1,1,-80.603956,28.608058,0,5,1,1,4,8,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
98,54,5,12500,1,1,-80.603956,28.608058,0,1,1,1,0,11,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
99,56,5,1192,1,1,-120.610829,34.632093,0,1,1,1,5,11,2020,0,0,1,0,1,0,0,0,0,1,0,0,0
100,45,5,15600,1,1,-80.577366,28.561857,0,7,1,1,2,11,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
101,51,5,2972,1,1,-80.603956,28.608058,0,4,1,1,6,12,2020,0,1,0,0,1,0,0,0,0,1,0,0,0
102,47,2,7000,1,1,-80.577366,28.561857,0,7,1,1,6,12,2020,1,0,0,0,1,0,0,0,0,1,0,0,0
104,53,2,3500,1,1,-80.577366,28.561857,0,4,1,1,4,1,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
105,47,5,15600,1,1,-80.603956,28.608058,0,8,1,1,2,1,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
106,51,11,5000,1,1,-80.577366,28.561857,0,5,1,1,6,1,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
107,53,5,15600,1,1,-80.577366,28.561857,0,5,1,1,3,2,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
108,52,5,15600,1,0,-80.577366,28.561857,0,6,1,1,1,2,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
109,45,5,15600,1,1,-80.603956,28.608058,0,8,1,1,3,3,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
110,51,5,15600,1,1,-80.577366,28.561857,0,6,1,1,3,3,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
111,47,5,15600,1,1,-80.603956,28.608058,0,9,1,1,6,3,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
112,53,5,15600,1,1,-80.577366,28.561857,0,6,1,1,2,3,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
113,51,5,15600,1,1,-80.577366,28.561857,0,7,1,1,2,4,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
114,54,5,13000,1,1,-80.603956,28.608058,0,2,1,1,4,4,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
115,53,5,15600,1,1,-80.577366,28.561857,0,7,1,1,3,4,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
116,45,5,15600,1,1,-80.603956,28.608058,0,9,1,1,1,5,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
117,47,5,15600,1,1,-80.577366,28.561857,0,10,1,1,6,5,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
118,51,5,15440,1,1,-80.603956,28.608058,0,8,1,1,5,5,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
119,56,5,15600,1,1,-80.577366,28.561857,0,2,1,1,2,5,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
120,57,5,3328,1,1,-80.603956,28.608058,0,1,1,1,3,6,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
121,54,2,7000,1,1,-80.577366,28.561857,0,3,1,1,6,6,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
122,55,6,4331,1,1,-80.577366,28.561857,0,2,1,1,3,6,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
124,54,5,2200,1,1,-80.603956,28.608058,0,4,1,1,6,8,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
125,45,5,13260,1,1,-120.610829,34.632093,0,10,1,1,1,9,2021,0,0,1,0,1,0,0,0,0,1,0,0,0
126,55,5,12519,1,1,-80.603956,28.608058,0,3,1,1,3,9,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
127,57,5,13000,1,1,-80.603956,28.608058,0,2,1,1,3,11,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
128,51,5,15635,1,1,-80.577366,28.561857,0,9,1,1,5,11,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
129,56,4,624,1,1,-120.610829,34.632093,0,3,1,1,2,11,2021,0,0,1,0,1,0,0,0,0,1,0,0,0
130,53,5,14500,1,1,-80.577366,28.561857,0,9,1,1,3,12,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
131,54,5,325,1,1,-80.603956,28.608058,0,5,1,1,3,12,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
132,47,5,15600,1,1,-120.610829,34.632093,0,11,1,1,5,12,2021,0,0,1,0,1,0,0,0,0,1,0,0,0
133,57,2,4500,1,1,-80.577366,28.561857,0,3,1,1,6,12,2021,1,0,0,0,1,0,0,0,0,1,0,0,0
134,58,5,2989,1,1,-80.603956,28.608058,0,1,1,1,1,12,2021,0,1,0,0,1,0,0,0,0,1,0,0,0
135,55,5,14500,1,1,-80.603956,28.608058,0,4,1,1,3,1,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
137,53,5,14500,1,1,-80.603956,28.608058,0,10,1,1,2,1,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
138,48,11,2205,1,1,-80.577366,28.561857,0,3,1,1,0,1,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
140,54,5,14500,1,1,-80.603956,28.608058,0,6,1,1,3,2,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
141,51,5,13600,1,1,-80.577366,28.561857,0,11,1,1,0,2,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
142,56,5,14750,1,1,-120.610829,34.632093,0,4,1,1,4,2,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
143,53,5,13900,1,1,-80.603956,28.608058,0,11,1,1,3,3,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
144,48,5,14160,1,1,-80.577366,28.561857,0,4,1,1,2,3,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
145,47,5,16250,1,1,-80.577366,28.561857,0,12,1,1,5,3,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
147,55,5,13000,1,1,-80.603956,28.608058,0,5,1,1,4,4,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
149,53,5,16250,1,1,-80.577366,28.561857,0,12,1,1,3,4,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
150,57,5,13000,1,1,-80.603956,28.608058,0,4,1,1,2,4,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
151,55,5,16250,1,1,-80.577366,28.561857,0,6,1,1,4,4,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
152,51,5,16250,1,1,-80.603956,28.608058,0,12,1,1,4,5,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
153,56,5,16250,1,1,-120.610829,34.632093,0,5,1,1,4,5,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
154,60,5,16250,1,1,-80.577366,28.561857,0,1,1,1,5,5,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
155,48,5,16250,1,1,-80.603956,28.608058,0,5,1,1,2,5,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
157,55,2,4100,1,1,-80.577366,28.561857,0,7,1,1,2,6,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
158,53,5,16250,1,1,-80.603956,28.608058,0,13,1,1,4,6,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
159,59,11,4000,1,1,-120.610829,34.632093,0,3,1,1,5,6,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
160,54,5,700,1,1,-80.577366,28.561857,0,9,1,1,6,6,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
161,60,2,3500,1,1,-80.577366,28.561857,0,2,1,1,2,6,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
162,51,5,16250,1,1,-80.577366,28.561857,0,13,1,1,3,7,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
163,56,11,14100,1,1,-120.610829,34.632093,0,6,1,1,0,7,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
164,57,5,2668,1,1,-80.603956,28.608058,0,5,1,1,4,7,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
165,47,5,16250,1,1,-80.577366,28.561857,0,13,1,1,6,7,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
166,59,11,14100,1,1,-120.610829,34.632093,0,4,1,1,4,7,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
167,55,5,16250,1,1,-80.603956,28.608058,0,8,1,1,6,7,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
168,48,0,679,1,1,-80.577366,28.561857,0,6,1,1,3,8,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
169,60,5,16000,1,1,-80.603956,28.608058,0,3,1,1,2,8,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
170,54,11,14100,1,1,-120.610829,34.632093,0,10,1,1,4,8,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
171,55,5,16250,1,1,-80.577366,28.561857,0,9,1,1,4,8,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
172,58,5,16700,1,1,-80.577366,28.561857,0,2,1,1,6,8,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
173,56,11,14200,1,1,-120.610829,34.632093,0,7,1,1,2,8,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
174,48,5,16000,1,1,-80.577366,28.561857,0,7,1,1,0,9,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
175,51,5,11938,1,1,-80.603956,28.608058,0,14,1,1,6,9,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
176,57,5,16700,1,1,-80.577366,28.561857,0,6,1,1,0,9,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
177,60,5,16100,1,1,-80.577366,28.561857,0,4,1,1,5,9,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
178,63,5,13000,1,1,-80.603956,28.608058,0,1,1,1,2,10,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
179,59,5,16100,1,1,-120.610829,34.632093,0,5,1,1,2,10,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
180,53,2,7350,1,1,-80.577366,28.561857,0,14,1,1,5,10,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
181,58,2,4500,1,1,-80.577366,28.561857,0,3,1,1,5,10,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
182,55,5,16700,1,1,-80.577366,28.561857,0,10,1,1,3,10,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
183,56,5,16400,1,1,-120.610829,34.632093,0,8,1,1,4,10,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
184,57,2,4500,1,1,-80.577366,28.561857,0,7,1,1,3,11,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
185,47,2,6600,1,0,-80.577366,28.561857,0,14,0,0,5,11,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
186,45,2,5500,1,0,-80.577366,28.561857,0,11,0,0,2,11,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
187,62,5,3528,1,1,-80.603956,28.608058,0,1,1,1,5,11,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
188,58,8,6000,1,1,-80.603956,28.608058,0,4,1,1,3,12,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
189,60,1,1000,1,1,-80.577366,28.561857,0,5,1,1,6,12,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
190,59,5,2200,1,1,-120.610829,34.632093,0,6,1,1,4,12,2022,0,0,1,0,1,0,0,0,0,1,0,0,0
191,57,6,4100,1,1,-80.577366,28.561857,0,8,1,1,4,12,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
192,51,5,16700,1,1,-80.603956,28.608058,0,15,1,1,5,12,2022,0,1,0,0,1,0,0,0,0,1,0,0,0
193,55,5,16700,1,1,-80.577366,28.561857,0,11,1,1,2,12,2022,1,0,0,0,1,0,0,0,0,1,0,0,0
