Flight_No,Serial_Number,Booster_Version,Date,Time,Customer,Orbit,Payload_Mass,Launchsite,Launchoutcome,Landing,Longitude,Latitude,Reused,FlightCount,Block,GridFins,Legs,Day,Month,Year,Serial_Number_Encoded,Orbit_Encoded,Booster_Version_Encoded,Launchsite_Encoded,Block_Encoded,Reused_Encoded,marker_color
260,B1069,F9 B5,2023-09-30,02:00:00,SpaceX,LEO,16100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,10,B5,1.0,1.0,5,9,2023,58,5,1,0,1,1,green
261,B1076,F9 B5,2023-10-05,05:36:00,SpaceX,LEO,16100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,8,B5,1.0,1.0,3,10,2023,62,5,1,0,1,1,green
262,B1063,F9 B5,2023-10-09,07:23:00,SpaceX,LEO,15300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,14,B5,1.0,1.0,0,10,2023,56,5,1,2,1,1,green
263,B1067,F9 B5,2023-10-13,23:01:00,SpaceX,LEO,16100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,14,B5,1.0,1.0,4,10,2023,57,5,1,0,1,1,green
264,B1062,F9 B5,2023-10-18,00:39:00,SpaceX,LEO,16100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,16,B5,1.0,1.0,2,10,2023,55,5,1,0,1,1,green
265,B1061,F9 B5,2023-10-21,08:23:00,SpaceX,LEO,15300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,16,B5,1.0,1.0,5,10,2023,54,5,1,2,1,1,green
266,B1080,F9 B5,2023-10-22,02:17:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,4,B5,1.0,1.0,6,10,2023,65,5,1,0,1,1,green
267,B1075,F9 B5,2023-10-29,09:00:00,SpaceX,LEO,16100.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,7,B5,1.0,1.0,6,10,2023,61,5,1,2,1,1,green
268,B1077,F9 B5,2023-10-30,23:20:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,8,B5,1.0,1.0,0,10,2023,63,5,1,0,1,1,green
269,B1058,F9 B5,2023-11-04,00:37:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,18,B5,1.0,1.0,5,11,2023,51,5,1,0,1,1,green
270,B1073,F9 B5,2023-11-08,05:05:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,11,B5,1.0,1.0,2,11,2023,60,5,1,0,1,1,green
271,B1081,F9 B5,2023-11-10,01:28:00,NASA,LEO,9525.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,2,B5,1.0,1.0,4,11,2023,66,5,1,1,1,1,green
273,B1076,F9 B5,2023-11-12,21:08:00,SES,MEO,4100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,9,B5,1.0,1.0,6,11,2023,62,6,1,0,1,1,green
274,B1069,F9 B5,2023-11-18,05:05:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,11,B5,1.0,1.0,5,11,2023,58,5,1,0,1,1,green
275,B1063,F9 B5,2023-11-20,10:30:00,SpaceX,LEO,16100.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,15,B5,1.0,1.0,0,11,2023,56,5,1,2,1,1,green
276,B1067,F9 B5,2023-11-22,07:47:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,15,B5,1.0,1.0,2,11,2023,57,5,1,0,1,1,green
277,B1062,F9 B5,2023-11-28,04:20:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,17,B5,1.0,1.0,1,11,2023,55,5,1,0,1,1,green
278,B1061,F9 B5,2023-12-01,18:19:00,Republic of Korea Armed Forces,SSO,800.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,17,B5,1.0,1.0,4,12,2023,54,11,1,2,1,1,green
279,B1078,F9 B5,2023-12-03,04:00:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,6,B5,1.0,1.0,6,12,2023,64,5,1,0,1,1,green
280,B1077,F9 B5,2023-12-07,05:07:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,9,B5,1.0,1.0,3,12,2023,63,5,1,0,1,1,green
281,B1071,F9 B5,2023-12-08,08:03:00,SpaceX,LEO,16100.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,13,B5,1.0,1.0,4,12,2023,59,5,1,2,1,1,green
282,B1081,F9 B5,2023-12-19,04:01:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,3,B5,1.0,1.0,1,12,2023,66,5,1,0,1,1,green
283,B1058,F9 B5,2023-12-23,05:33:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,True,19,B5,1.0,1.0,5,12,2023,51,5,1,0,1,1,green
284,B1075,F9 B5,2023-12-24,13:11:00,German Intelligence Service,SSO,3600.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,8,B5,1.0,1.0,6,12,2023,61,11,1,2,1,1,green
285,B1069,F9 B5,2023-12-29,04:01:00,SpaceX,LEO,16800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,12,B5,1.0,1.0,4,12,2023,58,5,1,0,1,1,green
286,B1082,F9 B5,2024-01-03,03:44:00,SpaceX,LEO,16800.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,1,B5,1.0,1.0,2,1,2024,67,5,1,2,1,1,green
287,B1076,F9 B5,2024-01-03,23:04:00,Ovzon,GTO,1800.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,10,B5,1.0,1.0,2,1,2024,62,2,1,0,1,1,green
288,B1067,F9 B5,2024-01-07,22:35:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,16,B5,1.0,1.0,6,1,2024,57,5,1,0,1,1,green
289,B1061,F9 B5,2024-01-14,08:59:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,18,B5,1.0,1.0,6,1,2024,54,5,1,2,1,1,green
290,B1073,F9 B5,2024-01-15,01:52:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,12,B5,1.0,1.0,0,1,2024,60,5,1,0,1,1,green
291,B1080,F9 B5,2024-01-18,21:49:00,Axiom Space,LEO,13000.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,5,B5,1.0,1.0,3,1,2024,65,5,1,1,1,1,green
292,B1063,F9 B5,2024-01-24,00:35:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,16,B5,1.0,1.0,2,1,2024,56,5,1,2,1,1,green
293,B1062,F9 B5,2024-01-29,01:10:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,18,B5,1.0,1.0,0,1,2024,55,5,1,1,1,1,green
294,B1075,F9 B5,2024-01-29,05:57:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,9,B5,1.0,1.0,0,1,2024,61,5,1,2,1,1,green
295,B1077,F9 B5,2024-01-30,17:07:00,Northrop Grumman,LEO,3726.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,10,B5,1.0,1.0,1,1,2024,63,5,1,0,1,1,green
296,B1081,F9 B5,2024-02-08,06:33:00,NASA,SSO,1694.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,4,B5,1.0,1.0,3,2,2024,66,11,1,0,1,1,green
297,B1071,F9 B5,2024-02-10,00:34:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,14,B5,1.0,1.0,5,2,2024,59,5,1,2,1,1,green
299,B1060,F9 B5,2024-02-15,06:05:00,NASA  / Intuitive Machines,TLI,1931.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,18,B5,1.0,1.0,3,2,2024,53,15,1,1,1,1,green
300,B1082,F9 B5,2024-02-15,21:34:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,2,B5,1.0,1.0,3,2,2024,67,5,1,2,1,1,green
301,B1067,F9 B5,2024-02-20,20:11:00,Telkom Indonesia,GTO,4000.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,17,B5,1.0,1.0,1,2,2024,57,2,1,0,1,1,green
302,B1061,F9 B5,2024-02-23,04:11:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,19,B5,1.0,1.0,4,2,2024,54,5,1,2,1,1,green
303,B1069,F9 B5,2024-02-25,22:06:00,SpaceX,LEO,17500.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,13,B5,1.0,1.0,6,2,2024,58,5,1,0,1,1,green
304,B1076,F9 B5,2024-02-29,15:30:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,11,B5,1.0,1.0,3,2,2024,62,5,1,0,1,1,green
305,B1083,F9 B5,2024-03-04,03:53:00,NASA,LEO,13000.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,1,B5,1.0,1.0,0,3,2024,68,5,1,1,1,1,green
307,B1073,F9 B5,2024-03-04,23:56:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,13,B5,1.0,1.0,0,3,2024,60,5,1,0,1,1,green
308,B1077,F9 B5,2024-03-10,23:05:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,11,B5,1.0,1.0,6,3,2024,63,5,1,0,1,1,green
309,B1063,F9 B5,2024-03-11,04:09:00,SpaceX,LEO,17100.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,17,B5,1.0,1.0,0,3,2024,56,5,1,2,1,1,green
310,B1062,F9 B5,2024-03-16,00:21:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,19,B5,1.0,1.0,5,3,2024,55,5,1,1,1,1,green
311,B1075,F9 B5,2024-03-19,02:28:00,SpaceX,LEO,16100.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,10,B5,1.0,1.0,1,3,2024,61,5,1,2,1,1,green
312,B1080,F9 B5,2024-03-21,20:55:00,NASA,LEO,2721.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,6,B5,1.0,1.0,3,3,2024,65,5,1,0,1,1,green
313,B1060,F9 B5,2024-03-24,03:09:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,19,B5,1.0,1.0,6,3,2024,53,5,1,1,1,1,green
314,B1078,F9 B5,2024-03-25,23:42:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,8,B5,1.0,1.0,0,3,2024,64,5,1,0,1,1,green
315,B1076,F9 B5,2024-03-30,21:52:00,Eutelsat,GTO,5000.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,12,B5,1.0,1.0,5,3,2024,62,2,1,1,1,1,green
316,B1067,F9 B5,2024-03-31,01:30:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,18,B5,1.0,1.0,6,3,2024,57,5,1,0,1,1,green
317,B1071,F9 B5,2024-04-02,02:30:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,15,B5,1.0,1.0,1,4,2024,59,5,1,2,1,1,green
318,B1069,F9 B5,2024-04-05,09:12:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,14,B5,1.0,1.0,4,4,2024,58,5,1,0,1,1,green
319,B1081,F9 B5,2024-04-07,02:25:00,SpaceX,LEO,16800.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,6,B5,1.0,1.0,6,4,2024,66,5,1,2,1,1,green
321,B1083,F9 B5,2024-04-10,05:40:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,2,B5,1.0,1.0,2,4,2024,68,5,1,0,1,1,green
322,B1082,F9 B5,2024-04-11,14:25:00,USSF,SSO,1200.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,3,B5,1.0,1.0,3,4,2024,67,11,1,2,1,1,green
323,B1062,F9 B5,2024-04-13,01:40:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,20,B5,1.0,1.0,5,4,2024,55,5,1,0,1,1,green
324,B1077,F9 B5,2024-04-17,21:26:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,12,B5,1.0,1.0,2,4,2024,63,5,1,1,1,1,green
325,B1080,F9 B5,2024-04-18,22:40:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,7,B5,1.0,1.0,3,4,2024,65,5,1,0,1,1,green
326,B1078,F9 B5,2024-04-23,22:17:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,9,B5,1.0,1.0,1,4,2024,64,5,1,0,1,1,green
327,B1060,F9 B5,2024-04-28,00:34:00,ESA,MEO,1600.0,"Kennedy, LC‑39A",1,0,-80.603956,28.608058,True,20,B5,1.0,1.0,6,4,2024,53,6,1,1,1,1,green
328,B1076,F9 B5,2024-04-28,22:08:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,13,B5,1.0,1.0,6,4,2024,62,5,1,0,1,1,green
329,B1061,F9 B5,2024-05-02,18:36:00,Maxar Technologies,SSO,1500.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,20,B5,1.0,1.0,3,5,2024,54,11,1,2,1,1,green
330,B1067,F9 B5,2024-05-03,02:37:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,19,B5,1.0,1.0,4,5,2024,57,5,1,0,1,1,green
331,B1069,F9 B5,2024-05-06,18:14:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,15,B5,1.0,1.0,0,5,2024,58,5,1,0,1,1,green
332,B1083,F9 B5,2024-05-08,18:42:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,3,B5,1.0,1.0,2,5,2024,68,5,1,1,1,1,green
333,B1082,F9 B5,2024-05-10,04:30:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,4,B5,1.0,1.0,4,5,2024,67,5,1,2,1,1,green
334,B1073,F9 B5,2024-05-13,00:53:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,15,B5,1.0,1.0,0,5,2024,60,5,1,0,1,1,green
335,B1063,F9 B5,2024-05-14,18:39:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,18,B5,1.0,1.0,1,5,2024,56,5,1,2,1,1,green
336,B1062,F9 B5,2024-05-18,00:32:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,21,B5,1.0,1.0,5,5,2024,55,5,1,0,1,1,green
338,B1080,F9 B5,2024-05-23,02:35:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,8,B5,1.0,1.0,3,5,2024,65,5,1,0,1,1,green
339,B1077,F9 B5,2024-05-24,02:45:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,13,B5,1.0,1.0,4,5,2024,63,5,1,1,1,1,green
340,B1078,F9 B5,2024-05-28,14:24:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,10,B5,1.0,1.0,1,5,2024,64,5,1,0,1,1,green
341,B1081,F9 B5,2024-05-28,22:20:00,ESA,SSO,2350.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,7,B5,1.0,1.0,1,5,2024,66,11,1,2,1,1,green
342,B1076,F9 B5,2024-06-01,02:37:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,14,B5,1.0,1.0,5,6,2024,62,5,1,0,1,1,green
343,B1067,F9 B5,2024-06-05,02:16:00,SpaceX,LEO,16300.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,20,B5,1.0,1.0,2,6,2024,57,5,1,0,1,1,green
344,B1069,F9 B5,2024-06-08,01:56:00,SpaceX,LEO,16700.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,16,B5,1.0,1.0,5,6,2024,58,5,1,0,1,1,green
345,B1061,F9 B5,2024-06-08,12:58:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,21,B5,1.0,1.0,5,6,2024,54,5,1,2,1,1,green
346,B1082,F9 B5,2024-06-19,03:40:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,5,B5,1.0,1.0,2,6,2024,67,5,1,2,1,1,green
347,B1080,F9 B5,2024-06-20,21:35:00,SES,GTO,5000.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,9,B5,1.0,1.0,3,6,2024,65,2,1,0,1,1,green
348,B1078,F9 B5,2024-06-23,17:15:00,SpaceX,LEO,16700.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,11,B5,1.0,1.0,6,6,2024,64,5,1,0,1,1,green
349,B1075,F9 B5,2024-06-24,03:47:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,11,B5,1.0,1.0,0,6,2024,61,5,1,2,1,1,green
350,B1062,F9 B5,2024-06-27,11:14:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,22,B5,1.0,1.0,3,6,2024,55,5,1,0,1,1,green
352,B1073,F9 B5,2024-07-03,08:55:00,SpaceX,LEO,16300.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,16,B5,1.0,1.0,2,7,2024,60,5,1,0,1,1,green
353,B1076,F9 B5,2024-07-08,23:30:00,Türksat,GTO,4250.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,15,B5,1.0,1.0,0,7,2024,62,2,1,0,1,1,green
354,B1063,F9 B5,2024-07-12,02:35:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",0,1,-120.610829,34.632093,True,19,B5,1.0,1.0,4,7,2024,56,5,1,2,1,1,red
355,B1069,F9 B5,2024-07-27,05:45:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,17,B5,1.0,1.0,5,7,2024,58,5,1,1,1,1,green
356,B1077,F9 B5,2024-07-28,05:09:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,14,B5,1.0,1.0,6,7,2024,63,5,1,0,1,1,green
357,B1071,F9 B5,2024-07-28,09:22:00,SpaceX,LEO,16500.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,17,B5,1.0,1.0,6,7,2024,59,5,1,2,1,1,green
358,B1078,F9 B5,2024-08-02,05:01:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,12,B5,1.0,1.0,4,8,2024,64,5,1,1,1,1,green
359,B1082,F9 B5,2024-08-04,07:24:00,SpaceX,LEO,17100.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,6,B5,1.0,1.0,6,8,2024,67,5,1,2,1,1,green
360,B1080,F9 B5,2024-08-04,15:02:00,Northrop Grumman,LEO,3857.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,10,B5,1.0,1.0,6,8,2024,65,5,1,0,1,1,green
361,B1067,F9 B5,2024-08-10,12:50:00,SpaceX,LEO,16500.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,21,B5,1.0,1.0,5,8,2024,57,5,1,0,1,1,green
362,B1061,F9 B5,2024-08-12,02:02:00,Space Norway,Molniya,7230.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,22,B5,1.0,1.0,0,8,2024,54,7,1,2,1,1,green
363,B1073,F9 B5,2024-08-12,10:37:00,SpaceX,LEO,17100.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,17,B5,1.0,1.0,0,8,2024,60,5,1,1,1,1,green
364,B1076,F9 B5,2024-08-15,13:00:00,Maxar Technologies,LEO,1500.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,16,B5,1.0,1.0,3,8,2024,62,5,1,0,1,1,green
366,B1085,F9 B5,2024-08-20,13:20:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,1,B5,1.0,1.0,1,8,2024,69,5,1,2,1,1,green
367,B1062,F9 B5,2024-08-28,07:48:00,SpaceX,LEO,16700.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,True,23,B5,1.0,1.0,2,8,2024,55,5,1,0,1,1,green
368,B1069,F9 B5,2024-08-31,07:43:00,SpaceX,LEO,16700.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,18,B5,1.0,1.0,5,8,2024,58,5,1,0,1,1,green
369,B1081,F9 B5,2024-08-31,08:48:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,9,B5,1.0,1.0,5,8,2024,66,5,1,2,1,1,green
370,B1077,F9 B5,2024-09-05,15:33:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,15,B5,1.0,1.0,3,9,2024,63,5,1,2,1,1,green
372,B1083,F9 B5,2024-09-10,09:23:00,Polaris Program,LEO,13000.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,4,B5,1.0,1.0,1,9,2024,68,5,1,1,1,1,green
373,B1078,F9 B5,2024-09-12,08:52:00,AST SpaceMobile,LEO,7500.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,13,B5,1.0,1.0,3,9,2024,64,5,1,0,1,1,green
374,B1071,F9 B5,2024-09-13,01:45:00,SpaceX,LEO,16700.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,18,B5,1.0,1.0,4,9,2024,59,5,1,2,1,1,green
375,B1067,F9 B5,2024-09-17,22:50:00,ESA,MEO,1600.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,22,B5,1.0,1.0,1,9,2024,57,6,1,2,1,1,green
376,B1075,F9 B5,2024-09-20,13:50:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,13,B5,1.0,1.0,4,9,2024,61,5,1,2,1,1,green
377,B1081,F9 B5,2024-09-25,04:01:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,10,B5,1.0,1.0,2,9,2024,66,5,1,2,1,1,green
378,B1085,F9 B5,2024-09-28,17:17:00,NASA,LEO,13000.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,2,B5,1.0,1.0,5,9,2024,69,5,1,2,1,1,green
379,B1061,F9 B5,2024-10-07,14:52:00,ESA,Heliocentric,1108.0,"Cape Canaveral, SLC-40",1,0,-80.577366,28.561857,True,23,B5,1.0,1.0,0,10,2024,54,4,1,0,1,1,green
380,B1080,F9 B5,2024-10-15,06:10:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,11,B5,1.0,1.0,1,10,2024,65,5,1,0,1,1,green
381,B1071,F9 B5,2024-10-15,08:21:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,19,B5,1.0,1.0,1,10,2024,59,5,1,2,1,1,green
382,B1076,F9 B5,2024-10-18,23:31:00,SpaceX,LEO,16300.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,17,B5,1.0,1.0,4,10,2024,62,5,1,0,1,1,green
383,B1082,F9 B5,2024-10-20,05:13:00,OneWeb,Polar LEO,2954.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,7,B5,1.0,1.0,6,10,2024,67,8,1,2,1,1,green
384,B1073,F9 B5,2024-10-23,21:47:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,18,B5,1.0,1.0,2,10,2024,60,5,1,0,1,1,green
386,B1069,F9 B5,2024-10-26,21:47:00,SpaceX,LEO,16700.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,19,B5,1.0,1.0,5,10,2024,58,5,1,0,1,1,green
387,B1075,F9 B5,2024-10-30,12:07:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,14,B5,1.0,1.0,2,10,2024,61,5,1,2,1,1,green
388,B1078,F9 B5,2024-10-30,21:10:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,14,B5,1.0,1.0,2,10,2024,64,5,1,0,1,1,green
389,B1083,F9 B5,2024-11-05,02:29:00,NASA,LEO,2762.0,"Kennedy, LC‑39A",1,1,-80.603956,28.608058,True,5,B5,1.0,1.0,1,11,2024,68,5,1,1,1,1,green
390,B1085,F9 B5,2024-11-07,20:19:00,SpaceX,LEO,17100.0,"Cape Canaveral, SLC-40",1,1,-80.577366,28.561857,True,3,B5,1.0,1.0,3,11,2024,69,5,1,0,1,1,green
391,B1081,F9 B5,2024-11-09,06:14:00,SpaceX,LEO,16300.0,"Vandenberg, SLC-4E",1,1,-120.610829,34.632093,True,11,B5,1.0,1.0,5,11,2024,66,5,1,2,1,1,green
